chip_id,location,datetime,cloudpath,B02_path,B03_path,B04_path,B08_path,label_path,label_mean
adwp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adwp,J:\CloudCover\data\data\train_features\adwp\B02.tif,J:\CloudCover\data\data\train_features\adwp\B03.tif,J:\CloudCover\data\data\train_features\adwp\B04.tif,J:\CloudCover\data\data\train_features\adwp\B08.tif,J:\CloudCover\data\data\train_labels\adwp.tif,0.4792938232421875
adwu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adwu,J:\CloudCover\data\data\train_features\adwu\B02.tif,J:\CloudCover\data\data\train_features\adwu\B03.tif,J:\CloudCover\data\data\train_features\adwu\B04.tif,J:\CloudCover\data\data\train_features\adwu\B08.tif,J:\CloudCover\data\data\train_labels\adwu.tif,0.63665771484375
aeap,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeap,J:\CloudCover\data\data\train_features\aeap\B02.tif,J:\CloudCover\data\data\train_features\aeap\B03.tif,J:\CloudCover\data\data\train_features\aeap\B04.tif,J:\CloudCover\data\data\train_features\aeap\B08.tif,J:\CloudCover\data\data\train_labels\aeap.tif,0.8436622619628906
aebi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aebi,J:\CloudCover\data\data\train_features\aebi\B02.tif,J:\CloudCover\data\data\train_features\aebi\B03.tif,J:\CloudCover\data\data\train_features\aebi\B04.tif,J:\CloudCover\data\data\train_features\aebi\B08.tif,J:\CloudCover\data\data\train_labels\aebi.tif,0.9435653686523438
aeej,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeej,J:\CloudCover\data\data\train_features\aeej\B02.tif,J:\CloudCover\data\data\train_features\aeej\B03.tif,J:\CloudCover\data\data\train_features\aeej\B04.tif,J:\CloudCover\data\data\train_features\aeej\B08.tif,J:\CloudCover\data\data\train_labels\aeej.tif,0.9124526977539062
aeey,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeey,J:\CloudCover\data\data\train_features\aeey\B02.tif,J:\CloudCover\data\data\train_features\aeey\B03.tif,J:\CloudCover\data\data\train_features\aeey\B04.tif,J:\CloudCover\data\data\train_features\aeey\B08.tif,J:\CloudCover\data\data\train_labels\aeey.tif,0.9286918640136719
aegb,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aegb,J:\CloudCover\data\data\train_features\aegb\B02.tif,J:\CloudCover\data\data\train_features\aegb\B03.tif,J:\CloudCover\data\data\train_features\aegb\B04.tif,J:\CloudCover\data\data\train_features\aegb\B08.tif,J:\CloudCover\data\data\train_labels\aegb.tif,0.9151039123535156
aehu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aehu,J:\CloudCover\data\data\train_features\aehu\B02.tif,J:\CloudCover\data\data\train_features\aehu\B03.tif,J:\CloudCover\data\data\train_features\aehu\B04.tif,J:\CloudCover\data\data\train_features\aehu\B08.tif,J:\CloudCover\data\data\train_labels\aehu.tif,0.9999351501464844
aeig,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeig,J:\CloudCover\data\data\train_features\aeig\B02.tif,J:\CloudCover\data\data\train_features\aeig\B03.tif,J:\CloudCover\data\data\train_features\aeig\B04.tif,J:\CloudCover\data\data\train_features\aeig\B08.tif,J:\CloudCover\data\data\train_labels\aeig.tif,0.9809036254882812
aejo,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aejo,J:\CloudCover\data\data\train_features\aejo\B02.tif,J:\CloudCover\data\data\train_features\aejo\B03.tif,J:\CloudCover\data\data\train_features\aejo\B04.tif,J:\CloudCover\data\data\train_features\aejo\B08.tif,J:\CloudCover\data\data\train_labels\aejo.tif,0.30115509033203125
